,id,size
664,139937468,912.8
665,138731741,330
666,136136315,628
667,138549350,868
668,139992626,489
669,136329494,447
670,137336384,955
671,137642234,484
672,139720865,936
673,138504242,680
674,139896077,757
675,139837772,1488
676,139770353,950
677,138366701,310
678,139912919,857
679,139619450,555
680,138434918,563
681,139686620,795
682,138473093,515
683,136478660,515.27
684,139839185,559
685,134348171,493
686,139128173,966
687,139273907,854
688,134790083,1041
689,86199102,457
690,139623968,710.4
691,139812086,608
692,139864205,699.7
693,139651934,893
694,139302116,1015
695,139960580,525
696,139866233,449
697,139655999,494.06
698,139855265,932
699,138366632,1012
700,139542293,682
701,137260151,560
702,139867952,711
703,138414404,797
704,136504919,696
705,139617878,
706,139691096,1494
707,139626605,608
708,139836671,752.72
709,138560282,789
710,139939823,934
711,139772546,1430
712,139848911,628
713,133868708,454
714,139814306,459
715,138059237,
716,139559198,911
717,139799771,672.7
718,139966187,653
719,138045521,1047
720,139377026,538
721,139846631,440
722,135177335,706
723,139678766,550
724,134494937,544
725,139026131,1036
726,139770728,
727,139864064,726.67
728,139931579,549
729,139951319,576
730,139686884,
731,139254152,644
732,139072922,1382
733,139991435,1001
734,139653032,866
735,139540232,529
736,138316982,1871
737,139600754,713
738,139682378,966.59
739,136488776,654
740,139699613,424.68
741,134391158,551
742,131276774,775
743,86307756,467
744,138713933,617
745,138019580,1214
746,134571386,835
747,139797866,686
748,139371983,1156
749,134669384,782
750,138887123,770
751,139911329,782.5
752,137673065,1128
753,139681616,714
754,128112458,624
755,139545221,673
756,138094148,519
757,139619615,843
758,138050900,719
759,139550873,1274.66
760,135010418,715
761,135861899,350
762,139530677,1332
763,139575713,696
764,139600502,1068
765,139976714,
766,139624508,695
767,137599097,
768,139545218,750
769,139222970,555
770,139275410,524
771,86160621,839
772,137842319,421
773,137735078,686
774,138549380,506
775,139526978,589
776,139530395,418.7
777,137737817,388
778,139731419,615
779,139921580,2011
780,139357400,1181
781,139661894,1543
782,139978139,749
783,139701686,547
784,139610039,543
785,139960961,522.0
786,139660604,851
787,139534301,
788,139851338,390
789,139314020,467
790,139879805,509
791,135108548,832
792,139239959,324.0
793,134573420,421
794,139734383,1366
795,139265042,150.6
796,139883585,790
797,137840486,16
798,138533414,1259.3
799,139713140,646
800,138964106,1186
801,139083236,
802,138712163,574
803,138549407,645
804,138549374,269
805,138753689,1319.6
806,136617314,1328
807,139580651,454
808,139031462,711.5
809,139968899,606
810,139793210,718
