,id,price,added_reduced,address,description,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band
572,135298850,"£800,000",Reduced on 07/09/2023,"Links Road, London","Rarely available detached family home boasting ample interior and exterior living space, walking distance to local transport and shops.",Detached,2,5,,Freehold,"['Detached family home', 'Freehold', 'Private garden', 'Off-street parking', 'Large living area', 'Bathrooms on ground and first floor']","[['Tooting ', '0.3 miles'], ['Streatham Common ', '0.7 miles'], ['Mitcham Eastfields ', '0.8 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: D
573,139621574,"£700,000",Added on 07/09/2023,"Trinity Road, Tooting",A spacious two double bedroom split level Victorian conversion flat with a private garden located in between Tooting Bec and Wandsworth Common.,Flat,2,2,,Ask agent,"['Two Bedrooms', 'Split Level', 'Private Garden', 'Close to 1100 Square Feet', 'Great Location', 'Chain Free']","[['Tooting Bec ', '0.3 miles'], ['Balham ', '0.6 miles'], ['Wandsworth Common ', '0.5 miles']]","['underground', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent
574,135708824,"£350,000",Reduced on 07/09/2023,"Fuller House, Broadash Close, SW16",A spacious and modern one bedroom flat with private balcony overlooking the gated community where the property is ideally positioned on the second floor. ,Apartment,1,1,,Leasehold,"['Modern one bedroom flat', 'Private South Facing balcony', 'Popular development', 'Close to Station & High Road']","[['West Norwood ', '0.6 miles'], ['Streatham Hill ', '0.6 miles'], ['Streatham ', '0.7 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",£250 per year,£1592,117 years left,Band: C
575,136773185,"£425,000",Reduced on 29/08/2023,"Valley Road, London","A period converted flat. This property is in excellent condition with two large double bedrooms and reception room, within close proximity to Streatham Common.",Flat,1,2,,Leasehold,"['Chain Free', 'Two Double Bedrooms', 'Conversion', 'Excellent Decorative Order', 'Long Lease', 'Short Walk To Streatham Common', 'High Ceilings', 'New Modern Double Glazed Sash Windows']","[['Streatham ', '0.4 miles'], ['Streatham Common ', '0.8 miles'], ['Streatham Hill ', '0.9 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",£0 per year,£1896,985 years left,Band: C
576,139620758,"£160,000",Added on 07/09/2023,"Stirling Close, Streatham, London, London, SW16 5HH","An opportunity to acquire a spacious ground floor apartment within a purpose built block set on a quiet cul-de-sac. This superb apartment offers a large double bedroom with fitted wardrobe, a generous reception room with patio doors on to an enclosed communal garden . Further benefits include fit...",Flat,1,1,,Leasehold,"['Being sold via Secure Sale online bidding. Terms & Conditions apply.', 'Apartment', 'One Bedroom', 'Communal Garden', 'Tenanted Investment']","[['Streatham Common ', '0.6 miles'], ['Mitcham Eastfields ', '0.7 miles'], ['Norbury ', '0.8 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: C
577,139619702,"£550,000",Added on 07/09/2023,"Richmond Road, Raynes Park",Located on a quiet road in the heart of West Wimbledon is this stunning ground floor maisonette with two double bedrooms boasting a brilliant private garden and no onward chain. ,Flat,1,2,,Leasehold,"['No onward chain', 'Two double bedrooms', 'Private rear garden ', 'Recently refurbished ', 'Bright and spacious', 'Ample storage', 'Popular location ', 'EPC Rating - D']","[['Raynes Park ', '0.4 miles'], ['New Malden ', '0.9 miles'], ['Wimbledon Chase ', '1.1 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent
578,139619615,"£700,000",Added on 07/09/2023,"Oakmead Road, Balham","A superbly presented two bedroom ground floor maisonette oozing character and charm, with a large eat-in kitchen and private rear garden situated in the centre of Balham.",Flat,1,2,,Leasehold,"['Ground floor maisonette', 'Two bedrooms', 'Sunlit reception room', 'Large eat-in kitchen', 'Private entrance', 'Private garden', 'EPC rating: C']","[['Balham ', '0.1 miles'], ['Tooting Bec ', '0.6 miles'], ['Wandsworth Common ', '0.6 miles']]","['nationalrail', 'underground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent
579,139619450,"£395,000",Added on 07/09/2023,"Brudenell Road, Tooting, Tooting","Offered for sale is this one bedroom ground floor garden flat. This property is in need of some updating and general TLC. There is some rising damp and we have quotes from a reputable company to remedy this. Having said that, the property is perfectly habitable. On the plus side this home w...",Flat,1,1,,Share of Freehold,"['One bedroom garden flat', 'No onward chain', 'Potential to extend STPP', 'Great location', 'Share of freehold', 'Wandsworth Council/Band C/£752']","[['Tooting Bec ', '0.1 miles'], ['Tooting Broadway ', '0.5 miles'], ['Balham ', '0.7 miles']]","['underground', 'underground', 'nationalrail']",£0 per year,Ask agent,990 years left,Band: C
580,138892841,"£885,000",Reduced on 07/09/2023,"Trouville Road, Clapham",A delightful and beautifully presented first floor purpose built Victorian maisonette with private garden situated within a highly desirable road in Abbeville Village.,Maisonette,2,3,,Leasehold,"['Three Double Bedrooms', 'Two Bathrooms (1 En-Suite)', 'Open Plan Kitchen/Reception', 'Long Lease', 'Private South Facing Garden', 'Chain Free']","[['Clapham South ', '0.4 miles'], ['Clapham Common ', '0.7 miles'], ['Balham ', '0.8 miles']]","['underground', 'underground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent
581,139617287,"£420,000",Added on 07/09/2023,"Topham Yard, Wimbledon",sA stunning one bedroom flat situated on the second floor of this desirable purpose built development only moments from the superb transport links of South Wimbledon.,Flat,1,1,,Leasehold,"['Excellent condition', 'Large bedroom', 'Modern bathroom', 'Contemporary kitchen', 'Quiet residential road', 'Superb transport links', 'NO ONWARD CHAIN', 'Approx 574 sq ft']","[['South Wimbledon ', '0.1 miles'], ['Merton Park Tram Stop0.3 miles'], ['Morden Road Tram Stop0.4 miles']]","['underground', 'tramlink', 'tramlink']",Ask agent,Ask agent,Ask agent,Ask agent
