,id,price,added_reduced,address,description,price_change_date,price_change_value,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band
30,138522515,"£440,000",Added on 10/08/2023,"Aylmer Road, Highgate","Set on the top floor of this popular building is this well presented apartment comprising two double bedrooms, fitted kitchen and access to a large communal garden",[],[],Flat,1,2,,Leasehold,"['Two double bedrooms', 'Reception room ', 'Fitted kitchen ', 'Modern bathroom ', 'Communal garden ', 'Chain free', 'Good transport links', 'EPC Rating D']","[['East Finchley ', '0.5 miles'], ['Highgate ', '0.5 miles'], ['Archway ', '1.5 miles']]",Ask agent,Ask agent,Ask agent,Ask agent
31,129170519,"£435,000",Reduced on 03/07/2023,"Monarch Court, Hampstead Garden Suburb","A 2 double bedroom, second floor flat situated in this popular purpose built block with 2 balconies including one at the rear with fantastic views over Lyttelton Playing Fields. Also benefitting from a long lease with Share of the Freehold. Located within walking distance of Hampste...",[],[],Apartment,1,2,,Share of Freehold,[],"[['East Finchley ', '0.4 miles'], ['Golders Green ', '1.2 miles'], ['Highgate ', '1.3 miles']]",Ask agent,Ask agent,Ask agent,Ask agent
32,86153400,"£425,000",Added on 13/06/2023,"Pages Lane, Muswell Hill, N10","STYLISH AND TASTEFULLY PRESENTED TWO DOUBLE-BEDROOM UPPER (THIRD) FLOOR ART DECO MANSION BLOCK APARTMENT. The property boasts an abundance of natural light throughout and retains many fine period features reminiscent of a bygone era. The property, which is accessed via secure entry-phone and pass...",[],[],Apartment,1,2,,Leasehold,"['Upper Floor Security', 'Passenger Lift', 'Two Double Bedrooms', 'Stylish Lounge with Attractive Frontal Outlook.', 'Fitted Kitchen/Breakfast Room', 'Built In Storage Cupboards', 'Entry-Phone Access', 'Communal Gardens', 'Close to Muswell Hill Broadway', 'Close to Coldfall Primary & Fortismere Secondary Schools']","[['East Finchley ', '0.9 miles'], ['Highgate ', '1.1 miles'], ['Alexandra Palace ', '1.3 miles']]",Ask agent,Ask agent,Ask agent,Ask agent
33,128957333,"£425,000",Reduced on 17/02/2023,"Elmhurst Crescent, London, N2",Addison Townsend are delighted to offer for sale this well presented three bedroom ground floor apartment with direct access to the communal gardens. Situated in this residential turning off East End Road within 0.5 miles of East Finchley Station (northern line) and conveniently located in the ca...,[],[],Flat,1,3,,Leasehold,"['Three Bedroom Flat', 'Direct Access to Communal Gardens', 'Ground Floor', '0.5 Miles East Finchley Station', 'Communal Parking', 'Chain Free']","[['East Finchley ', '0.5 miles'], ['Finchley Central ', '1.1 miles'], ['Golders Green ', '1.4 miles']]",Ask agent,Ask agent,176 years left,Band: D
34,138130010,"£425,000",Added on 01/08/2023,"Prospect Ring, East Finchley, N2","We offer this spacious and beautifully kept three double bedroom first floor flat situated in this cul-de-sac location just off Market Place, N2, minutes from East Finchley High Road, underground station, Holy Trinity and Martins Primary schools and the Archer Academy. The property offers ample l...",[],[],Apartment,1,3,,Leasehold,"['28ft Kitchen Reception Room', 'Balcony', 'Three Double Bedrooms', 'Bathroom', 'Separate WC', 'Communal Gardens', 'Communal Playground', 'Chain Free']","[['East Finchley ', '0.2 miles'], ['Highgate ', '1.3 miles'], ['Finchley Central ', '1.3 miles']]",Ask agent,Ask agent,89 years left,Ask agent
35,135038846,"£425,000",Added on 19/05/2023,"Great North Road, East Finchley, London, N2","FANTASTIC TWO DOUBLE BEDROOM FLAT CLOSE TO EAST FINCHLEY STATION. The property is well situated between East Finchley, Highgate Village and Muswell Hill and benefits from two double bedrooms, spacious lounge and separate kitchen. It further benefits from access to with rear communal gardens and u...",[],[],Apartment,1,2,,Leasehold,"['Secure Purpose Built Block', 'Two Double Bedrooms', 'Spacious Reception Room', 'Separate Kitchen', 'Communal Gardens', 'Use Of Communal Off-Street Parking', 'Short Walking Distance To Station', 'Lease Approximately 151 Years Remaining']","[['East Finchley ', '0.4 miles'], ['Highgate ', '0.6 miles'], ['Archway ', '1.5 miles']]",£0 per year,£2289.24,145 years left,Band: D
36,126965357,"£425,000",Added on 12/09/2022,"Archway Road, Highgate, N6",A one bedroom recently refurbished apartment occupying the first floor of this period building above commercial premises within close walking distance of Highgate Underground Station.,[],[],Flat,1,1,389 sq. ft.(36 sq. m.),Leasehold,[],"[['Highgate ', '0.3 miles'], ['Archway ', '0.7 miles'], ['Upper Holloway ', '0.9 miles']]",£200 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,Ask agent,110 years left,Band: C
37,86226558,"£425,000",Reduced on 20/06/2023,"Hamlet Gate, High Road, London, N2","A brand new 1 bedroom / 1 bathroom apartment measuring 564 sq. ft. in this exclusive development.Hamlet Gate is a collection of brand new high specification one, two & three bedroom apartments all offering bright and spacious accommodation throughout. Located opposite East Finchley ...",[],[],Apartment,1,1,,Leasehold,"['Close to East Finchley Tube Station (Zone 3)', 'Underfloor heating throughout', 'Siemens Integrated Appliances', 'Communal Roof Terrace', 'Ready To Move In']","[['East Finchley ', '0.0 miles'], ['Highgate ', '1.0 miles'], ['Finchley Central ', '1.6 miles']]",Ask agent,Ask agent,Ask agent,Ask agent
38,138840935,"£400,000",Added yesterday,"Queens Lane, London, N10",Prickett and Ellis are proud to present this fantastically located one bedroom chain free flat that has been recently refurbished to a high standard throughout. EPC Rating - D ,[],[],Apartment,1,1,,Leasehold,"['CHAIN FREE', 'ONE BEDROOM FLAT WITH POTENTIAL TO TURN INTO TWO BEDROOMS', 'LOCATED ON MUSWELL HILL BROADWAY', 'RECENTLY REFERBISHED', '113 YEAR LEASE', '584 SQUARE FEET']","[['East Finchley ', '1.0 miles'], ['Highgate ', '1.0 miles'], ['Alexandra Palace ', '1.1 miles']]",£0 per year,£0,Ask agent,Band: TBC
39,124489745,"£400,000",Reduced on 27/07/2023,"Aylmer Road, Haringey","Located on the ground floor of this popular purpose built block is this spacious two double bedroom apartment with separate kitchen, direct access to secluded terrace & off street parking.",[],[],Flat,1,2,,Share of Freehold,"['Two double bedrooms ', 'Spacious reception room', 'Bathroom ', 'Fitted kitchen ', 'Communal terrace ', 'Ground floor ', 'Off street parking', 'EPC Rating D']","[['East Finchley ', '0.5 miles'], ['Highgate ', '0.6 miles'], ['Archway ', '1.5 miles']]",Ask agent,Ask agent,Ask agent,Ask agent
40,133272632,"£399,950",Reduced on 16/03/2023,"Risborough Court, Muswell Hill, London, N10",Situated within minutes walk of Muswell Hill Broadway’s vibrant promenades is a two double bedroom purpose built first floor maisonette. The property is in need of updating and is ideally placed with excellent bus services providing easy access to Highgate (Northern Line) and Finsbury Park ...,[],[],Apartment,1,2,,Leasehold,"['RECEPTION ROOM', '2 DOUBLE BEDROOMS', 'KITCHEN', 'BATHROOM/WC', 'GAS CH', 'LEASEHOLD', 'SOLE SELLING AGENT']","[['Highgate ', '0.9 miles'], ['Alexandra Palace ', '1.1 miles'], ['East Finchley ', '1.1 miles']]",£0 per year,£0,Ask agent,Band: TBC
